participant_id,comparison_id,prefers_w_word,preference_strength,word
8,only_2032,1,6,only
8,control_00005,1,6,control
8,not_1154,1,6,not
8,just_j_10613,1,6,just
8,control_00001,1,6,control
8,not_768,1,6,not
8,not_1697,1,6,not
8,only_966,1,6,only
8,just_e_9268,1,6,just
8,control_00002,1,5,control
8,just_j_12718,1,6,just
8,control_00022,1,6,control
8,only_1602,1,6,only
8,only_1272,-1,3,only
8,just_e_4508,1,6,just
8,not_309,1,6,not
8,control_00027,1,6,control
8,control_00013,1,6,control
8,not_81,1,6,not
8,not_367,1,6,not
8,not_969,1,5,not
8,control_00014,1,6,control
8,just_j_4012,-1,2,just
8,not_71,1,5,not
8,only_1538,1,6,only
8,just_e_9687,1,6,just
8,only_1446,1,6,only
8,not_272,1,6,not
8,only_794,1,6,only
8,not_460,1,6,not
8,not_865,1,6,not
8,just_j_2438,1,6,just
8,only_687,1,6,only
8,just_j_788,1,6,just
8,only_745,1,6,only
8,control_00024,1,5,control
8,control_00010,1,6,control
8,only_2118,1,6,only
9,not_302,1,7,not
9,control_00003,1,7,control
9,just_e_1907,0,4,just
9,only_315,-1,1,only
9,not_7,-1,2,not
9,control_00011,1,7,control
9,only_491,1,7,only
9,control_00008,1,7,control
9,just_j_7873,1,6,just
9,not_272,1,6,not
9,control_00016,1,7,control
9,only_1446,1,7,only
9,only_2032,1,6,only
9,only_2038,1,6,only
9,just_j_4012,1,6,just
9,control_00020,1,7,control
9,only_1538,0,4,only
9,not_729,1,7,not
9,control_00028,1,7,control
9,control_00006,1,7,control
9,just_j_12718,-1,1,just
9,control_00027,1,7,control
9,only_2118,1,7,only
9,just_j_5467,1,7,just
9,control_00026,1,7,control
9,just_j_10613,1,6,just
9,not_379,1,7,not
9,not_969,1,7,not
9,only_1577,1,6,only
9,control_00007,1,7,control
9,only_2405,1,7,only
9,only_966,0,4,only
9,not_1602,1,7,not
9,control_00001,1,7,control
9,just_j_1461,1,5,just
9,control_00015,1,7,control
9,just_j_8011,0,4,just
9,control_00024,1,7,control
9,only_1888,-1,1,only
9,not_367,1,6,not
9,only_660,1,7,only
9,just_j_788,1,6,just
9,only_794,1,7,only
9,not_768,0,4,not
9,not_81,1,7,not
9,just_j_8890,1,5,just
9,control_00014,1,7,control
9,not_15,1,7,not
9,only_1817,1,7,only
9,control_00018,1,7,control
9,control_00009,1,7,control
9,only_1602,1,7,only
9,control_00019,1,7,control
9,control_00025,1,7,control
9,just_j_638,1,6,just
9,only_1038,1,7,only
9,control_00021,1,7,control
9,only_1493,-1,1,only
9,not_1570,1,7,not
9,only_1579,1,6,only
9,just_j_6768,0,4,just
9,only_649,1,7,only
9,not_244,0,4,not
9,only_1142,1,7,only
9,just_j_2164,0,4,just
9,only_965,0,4,only
9,just_e_1001,1,6,just
9,just_j_2438,0,4,just
9,control_00022,1,7,control
9,only_1891,-1,2,only
9,just_j_7769,0,4,just
9,not_949,1,7,not
9,not_1686,1,7,not
9,control_00002,1,7,control
9,only_1624,1,7,only
9,not_1647,0,4,not
9,not_698,1,7,not
9,only_1272,0,4,only
9,control_00012,1,7,control
9,just_j_8242,0,4,just
9,only_501,0,4,only
9,control_00017,1,7,control
9,not_1697,1,7,not
9,only_1368,1,7,only
9,control_00005,1,7,control
9,not_1154,0,4,not
9,only_687,1,5,only
9,not_309,1,7,not
9,just_e_2717,1,7,just
9,not_319,1,6,not
9,control_00010,1,7,control
9,control_00029,1,7,control
9,just_j_4722,1,5,just
9,not_460,1,7,not
9,not_71,1,7,not
9,not_865,1,7,not
9,not_226,1,6,not
9,not_686,1,7,not
9,control_00000,1,7,control
9,not_1700,1,7,not
9,not_383,-1,1,not
9,just_e_9268,1,7,just
9,control_00023,1,7,control
9,not_702,1,7,not
9,only_2333,1,7,only
9,just_e_9687,0,4,just
9,only_2232,-1,2,only
9,control_00013,1,7,control
9,just_e_5138,1,7,just
9,just_e_4508,1,7,just
9,not_5,1,7,not
9,just_j_12662,1,7,just
9,control_00004,1,7,control
9,only_745,0,4,only
9,just_j_1627,1,7,just
1,control_00037,1,7,control
1,only_3779,1,7,only
1,only_3302,1,7,only
